     82.37.121.50,
     82.37.121.50,
     165.91.71.82,
     203.162.165.11,
     128.194.216.28,
     128.194.111.175,
     128.194.216.28,
     128.194.220.39,
     165.91.70.83,
     128.194.141.129,
     165.91.240.209,
     165.91.240.209,
     61.0.200.117,
     61.0.200.117,
     61.0.200.117,
     165.91.174.150,
     165.91.148.81,
     128.194.25.165,
     128.194.25.165,
     4.34.138.5,
     165.91.241.7,
     165.91.241.7,
     165.91.241.7,
     165.91.241.7,
     165.91.241.7,
     165.91.166.84,
202.88.154.177,     202.88.154.177,
     130.74.134.118,
143.89.38.36     143.89.188.5,
143.89.38.36,     143.89.188.5,
,  ,   202.9.130.132,
172.16.200.36,  ,   210.212.194.30,
,  ,   202.134.189.44,
172.16.200.36,  ,   210.212.194.30,
172.18.30.8,   210.7.68.168,   210.7.68.168,
,  ,   202.177.185.221,
,  ,   202.177.185.221,
192.168.1.81,  ,   210.212.170.130,
192.168.1.81,  ,   210.212.170.130,
192.168.1.75,  ,   210.212.170.130,
,  ,   203.197.117.231,
10.3.100.211,  ,   193.220.224.11,
203.196.130.114,  ,   203.196.130.114,
203.196.130.114,  ,   203.196.130.114,
203.196.130.114,  ,   203.196.130.114,
203.196.130.114,  ,   203.196.130.114,
,  ,   202.134.189.44,
10.3.100.211,  ,   193.220.224.11,
172.16.0.22,  ,   202.149.222.108,
172.16.0.22,  ,   202.149.222.108,
143.89.117.158,  ,   143.89.188.5,
,  ,   61.11.11.86,
144.16.243.22,  ,   203.199.213.5,
143.89.117.158,  ,   143.89.188.5,
144.16.245.28,  ,   203.199.213.3,
203.196.130.114,  ,   203.196.130.114,
10.21.11.8,   unknown,   203.199.81.149,
144.16.245.28,  ,   203.199.213.4,
203.196.130.114,  ,   203.196.130.114,
10.110.152.2,   unknown,   203.199.81.149,
144.16.245.28,  ,   203.199.213.4,
144.16.245.28,  ,   203.199.213.4,
10.110.152.2,   unknown,   203.199.81.149,
144.16.245.28,  ,   203.199.213.5,
144.16.245.28,  ,   203.199.213.5,
,  ,   210.212.89.4,
203.196.130.114,  ,   203.196.130.114,
144.16.245.28,  ,   203.199.213.3,
,  ,   210.212.89.4,
,  ,   219.65.81.17,
,  ,   219.65.81.17,
,  ,   203.115.98.21,
10.13.235.10,   10.13.101.15,   203.199.81.149,
203.196.130.114,  ,   203.196.130.114,
,  ,   210.212.89.4,
,  ,   210.212.89.4,
,  ,   210.212.89.4,
203.196.130.114,  ,   203.196.130.114,
219.65.102.104,  ,   219.65.102.104,
10.13.235.10,   10.13.101.15,   202.68.142.226,
192.168.8.203,  ,   203.129.199.131,
10.3.100.211,  ,   193.220.224.11,
10.3.100.211,  ,   193.220.224.11,
,  ,   210.212.89.4,
,  ,   210.212.89.4,
,  ,   210.212.89.4,
10.13.27.14,   unknown,   202.68.142.226,
,  ,   210.212.89.4,
,  ,   203.129.246.59,
203.196.130.114,  ,   203.196.130.114,
,  ,   203.129.246.59,
10.108.4.32,  ,   203.197.98.3,
,  ,   203.129.246.59,
,  ,   203.129.246.59,
10.107.3.17,   unknown,   203.199.81.149,
,  ,   202.162.56.234,
,  ,   202.162.56.234,
203.196.130.114,  ,   203.196.130.114,
,  ,   61.0.45.43,
,  ,   61.0.45.43,
,  ,   61.1.106.26,
,  ,   210.214.159.14,
,  ,   203.200.130.2,
,  ,   203.200.130.2,
,  ,   203.200.130.2,
,  ,   203.200.130.2,
,  ,   203.200.130.2,
10.3.100.212,  ,   193.220.224.12,
,  ,   202.131.116.12,
172.16.1.46,  ,   203.163.146.162,
,  ,   61.1.8.64,
10.100.63.59,  ,   202.138.119.193,
10.4.201.32,   10.4.11.21,   203.199.81.149,
10.4.201.32,   10.4.11.21,   202.68.142.226,
,  ,   61.0.209.240,
,  ,   61.0.209.240,
,  ,   61.0.209.240,
10.3.100.212,  ,   193.220.224.12,
144.16.243.218,  ,   203.199.213.4,
10.3.100.212,  ,   193.220.224.12,
,  ,   193.220.224.6,
172.31.78.2,  ,   203.200.95.130,
202.141.81.117,  ,   202.141.80.19,
10.99.102.8,   unknown,   202.68.142.226,
10.3.100.212,  ,   193.220.224.12,
,  ,   61.0.69.63,
10.3.3.25,   unknown,   203.199.81.149,
10.3.3.25,   unknown,   202.68.142.226,
10.4.201.31,   10.4.11.21,   203.199.51.149,
172.31.5.35,  ,   203.200.95.130,
,  ,   220.224.28.185,
10.13.27.14,   unknown,   203.199.81.149,
10.3.36.100,  ,   203.197.98.3,
10.9.2.4,   10.9.11.12,   203.199.81.149,
10.4.2.81,   unknown,   203.199.81.149,
,  ,   61.1.80.247,
,  ,   132.239.94.248,
,  ,   61.1.80.157,
10.9.203.55,   10.9.11.12,   203.199.81.149 Fri 07th Nov,2003 01:54 am
172.31.84.156,  ,   203.200.95.130 Fri 07th Nov,2003 02:21 am
172.31.84.156,  ,   203.200.95.130 Fri 07th Nov,2003 02:23 am
10.3.100.212,  ,   193.220.224.12 Fri 07th Nov,2003 02:38 am
203.187.198.91,  ,   203.187.198.91 Fri 07th Nov,2003 03:38 am
,  ,   216.163.91.226 Fri 07th Nov,2003 03:40 am
,  ,   203.88.137.28 Fri 07th Nov,2003 06:43 am
143.89.118.167,  ,   143.89.188.5 Fri 07th Nov,2003 08:23 am
,  ,   68.122.126.59 Fri 07th Nov,2003 10:52 am
,  ,   203.77.201.114 Fri 07th Nov,2003 11:06 am
,  ,   203.77.201.114 Fri 07th Nov,2003 11:10 am
,  ,   210.214.159.21 Fri 07th Nov,2003 11:39 am
,  ,   61.0.45.49 Fri 07th Nov,2003 12:25 pm
,  ,   208.180.143.214 Fri 07th Nov,2003 12:30 pm
,  ,   61.0.45.49 Fri 07th Nov,2003 12:30 pm
,  ,   61.0.45.49 Fri 07th Nov,2003 12:30 pm
192.168.6.33,  ,   61.1.110.9 Fri 07th Nov,2003 12:34 pm
192.168.6.33,  ,   61.1.110.9 Fri 07th Nov,2003 12:47 pm
,  ,   61.0.104.240 Fri 07th Nov,2003 01:05 pm
10.3.100.212,  ,   193.220.224.12 Fri 07th Nov,2003 01:20 pm
202.88.136.148,  ,   202.88.136.148 Fri 07th Nov,2003 02:07 pm
202.88.136.148,  ,   202.88.136.148 Fri 07th Nov,2003 02:07 pm
202.88.136.148,  ,   202.88.136.148 Fri 07th Nov,2003 02:09 pm
202.88.136.148,  ,   202.88.136.148 Fri 07th Nov,2003 02:11 pm
,  ,   202.134.189.44 Fri 07th Nov,2003 02:23 pm
,  ,   202.134.189.44 Fri 07th Nov,2003 02:37 pm
,  ,   202.134.189.44 Fri 07th Nov,2003 02:42 pm
,  ,   202.134.189.44 Fri 07th Nov,2003 02:43 pm
,  ,   202.134.189.44 Fri 07th Nov,2003 02:46 pm
10.100.5.11,   unknown,   203.199.81.149 Fri 07th Nov,2003 02:52 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 03:00 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 03:02 pm
,  ,   61.95.217.100 Fri 07th Nov,2003 03:12 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 03:14 pm
,  ,   61.95.217.100 Fri 07th Nov,2003 03:18 pm
11.4.5.30,  ,   61.95.242.70 Fri 07th Nov,2003 03:34 pm
192.168.9.42,  ,   203.129.199.131 Fri 07th Nov,2003 03:58 pm
,  ,   61.0.45.62 Fri 07th Nov,2003 04:05 pm
,  ,   203.199.119.253 Fri 07th Nov,2003 04:16 pm
,  ,   203.199.119.253 Fri 07th Nov,2003 04:17 pm
172.31.81.74,  ,   203.200.95.130 Fri 07th Nov,2003 04:21 pm
,  ,   61.1.124.67 Fri 07th Nov,2003 04:28 pm
10.2.200.30,   10.2.20.6,   203.199.81.149 Fri 07th Nov,2003 04:29 pm
144.16.192.123,  ,   203.197.98.2 Fri 07th Nov,2003 04:31 pm
172.21.90.12,  ,   202.131.115.150 Fri 07th Nov,2003 04:33 pm
10.3.100.212,  ,   193.220.224.12 Fri 07th Nov,2003 04:33 pm
172.20.73.11,  ,   137.132.3.9 Fri 07th Nov,2003 04:39 pm
10.4.201.31,   10.4.11.21,   202.68.142.226 Fri 07th Nov,2003 04:46 pm
,  ,   61.0.45.48 Fri 07th Nov,2003 04:47 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 04:48 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 04:49 pm
,  ,   61.0.45.47 Fri 07th Nov,2003 04:51 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 04:57 pm
,  ,   61.0.45.48 Fri 07th Nov,2003 05:16 pm
,  ,   61.1.124.67 Fri 07th Nov,2003 05:18 pm
,  ,   61.0.45.48 Fri 07th Nov,2003 05:21 pm
,  ,   61.0.45.48 Fri 07th Nov,2003 05:21 pm
,  ,   61.2.208.5 Fri 07th Nov,2003 05:41 pm
,  ,   61.2.208.5 Fri 07th Nov,2003 05:43 pm
,  ,   210.212.244.7 Fri 07th Nov,2003 05:44 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 05:45 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 05:50 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:00 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:03 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:03 pm
10.13.235.10,   10.13.101.15,   203.199.51.149 Fri 07th Nov,2003 06:05 pm
192.168.1.176,  ,   210.212.170.130 Fri 07th Nov,2003 06:06 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:12 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:13 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:14 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:14 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:15 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:27 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:28 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:30 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:32 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:32 pm
10.4.201.31,   10.4.11.21,   203.199.81.149 Fri 07th Nov,2003 06:36 pm
10.7.216.86,   10.7.106.2,   203.199.51.149 Fri 07th Nov,2003 06:36 pm
192.168.2.83,  ,   203.200.130.10 Fri 07th Nov,2003 06:36 pm
192.168.0.24,  ,   203.115.125.118 Fri 07th Nov,2003 06:39 pm
192.168.0.24,  ,   203.115.125.118 Fri 07th Nov,2003 06:40 pm
10.4.201.31,   10.4.11.21,   202.68.142.226 Fri 07th Nov,2003 06:40 pm
10.4.201.31,   10.4.11.21,   202.68.142.226 Fri 07th Nov,2003 06:42 pm
10.4.201.31,   10.4.11.21,   202.68.142.226 Fri 07th Nov,2003 06:43 pm
,  ,   207.235.6.88 Fri 07th Nov,2003 06:46 pm
10.100.63.243,  ,   202.138.119.193 Fri 07th Nov,2003 06:48 pm
10.3.100.212,  ,   193.220.224.12 Fri 07th Nov,2003 06:55 pm
144.16.244.120,  ,   203.199.213.3 Fri 07th Nov,2003 06:58 pm
10.7.11.8,   unknown,   202.68.142.226 Fri 07th Nov,2003 07:04 pm
,  ,   24.243.48.190 Fri 07th Nov,2003 07:05 pm
192.168.2.83,  ,   203.200.130.10 Fri 07th Nov,2003 07:15 pm
10.4.1.43,   unknown,   203.199.81.149 Fri 07th Nov,2003 07:27 pm
192.168.2.48,  ,   203.200.130.10 Fri 07th Nov,2003 07:32 pm
,  ,   61.1.118.95 Fri 07th Nov,2003 07:33 pm
,  ,   219.65.42.211 Fri 07th Nov,2003 07:39 pm
172.16.6.8,  ,   203.163.146.162 Fri 07th Nov,2003 07:44 pm
,  ,   203.197.117.231 Fri 07th Nov,2003 08:10 pm
,  ,   203.197.117.231 Fri 07th Nov,2003 08:16 pm
,  ,   202.3.95.20 Fri 07th Nov,2003 08:17 pm
,  ,   202.3.95.20 Fri 07th Nov,2003 08:17 pm
,  ,   202.3.95.20 Fri 07th Nov,2003 08:17 pm
,  ,   202.3.95.20 Fri 07th Nov,2003 08:18 pm
,  ,   203.197.117.231 Fri 07th Nov,2003 08:18 pm
10.5.2.82,   unknown,   203.199.81.149 Fri 07th Nov,2003 08:26 pm
192.168.8.201,  ,   203.129.199.131 Fri 07th Nov,2003 08:33 pm
210.214.25.36,  ,   210.214.25.36 Fri 07th Nov,2003 09:11 pm
172.18.2.65,  ,   202.54.26.120 Fri 07th Nov,2003 09:18 pm
210.214.25.36,  ,   210.214.25.36 Fri 07th Nov,2003 09:19 pm
210.214.25.36,  ,   210.214.25.36 Fri 07th Nov,2003 09:19 pm
210.214.25.36,  ,   210.214.25.36 Fri 07th Nov,2003 09:20 pm
172.18.2.65,  ,   202.54.26.120 Fri 07th Nov,2003 09:25 pm
,  ,   139.131.241.10 Fri 07th Nov,2003 09:42 pm
192.168.1.216,  ,   210.212.170.130 Fri 07th Nov,2003 10:25 pm
10.5.201.16,   10.5.11.1,   202.68.142.226 Fri 07th Nov,2003 10:29 pm
10.5.19.35,  ,   203.197.98.2 Fri 07th Nov,2003 10:45 pm
,  ,   165.91.247.83 Fri 07th Nov,2003 10:56 pm
,  ,   165.91.247.83 Fri 07th Nov,2003 10:57 pm
,  ,   213.104.88.239 Fri 07th Nov,2003 10:57 pm
10.100.60.234,  ,   202.138.119.193 Fri 07th Nov,2003 11:22 pm
,  ,   203.88.128.51 Fri 07th Nov,2003 11:41 pm
,  ,   203.88.128.51 Fri 07th Nov,2003 11:43 pm
,  ,   139.142.135.210 Fri 07th Nov,2003 11:44 pm
,  ,   193.220.224.8 Fri 07th Nov,2003 11:49 pm
,  ,   63.194.160.19 Sat 08th Nov,2003 12:26 am
10.8.1.23,   unknown,   203.199.81.149 Sat 08th Nov,2003 12:39 am
192.168.13.41,   unknown,   202.68.142.226 Sat 08th Nov,2003 01:41 am
,  ,   80.186.40.118 Sat 08th Nov,2003 02:12 am
10.4.2.26,   unknown,   202.68.142.226 Sat 08th Nov,2003 02:58 am
10.2.201.11,   10.2.20.6,   203.199.81.149 Sat 08th Nov,2003 03:29 am
